date,outcome,case_count,total_pop,Rate
9/12/2021,death,10,5562663,0.18
9/13/2021,death,8,5562663,0.14
9/14/2021,death,11,5562663,0.2
9/15/2021,death,14,5562663,0.25
9/16/2021,death,16,5562663,0.29
9/17/2021,death,8,5562663,0.14
9/18/2021,death,15,5562663,0.27
9/19/2021,death,11,5562663,0.2
9/20/2021,death,16,5562663,0.29
9/21/2021,death,16,5562663,0.29
9/22/2021,death,17,5562663,0.31
9/23/2021,death,13,5562663,0.23
9/24/2021,death,13,5562663,0.23
9/25/2021,death,17,5562663,0.31
9/26/2021,death,15,5562663,0.27
9/27/2021,death,15,5562663,0.27
9/28/2021,death,11,5562663,0.2
9/29/2021,death,21,5562663,0.38
9/30/2021,death,17,5562663,0.31
10/1/2021,death,13,5562663,0.23
10/2/2021,death,15,5562663,0.27
10/3/2021,death,23,5562663,0.41
10/4/2021,death,15,5562663,0.27
10/5/2021,death,23,5562663,0.41
10/6/2021,death,21,5562663,0.38
10/7/2021,death,14,5562663,0.25
10/8/2021,death,22,5562663,0.4
10/9/2021,death,20,5562663,0.36
10/10/2021,death,14,5562663,0.25
10/11/2021,death,11,5562663,0.2
10/12/2021,death,25,5562663,0.45
10/13/2021,death,21,5562663,0.38
10/14/2021,death,22,5562663,0.4
10/15/2021,death,14,5562663,0.25
10/16/2021,death,20,5562663,0.36
10/17/2021,death,19,5562663,0.34
10/18/2021,death,17,5562663,0.31
10/19/2021,death,27,5562663,0.49
10/20/2021,death,17,5562663,0.31
10/21/2021,death,8,5562663,0.14
10/22/2021,death,24,5562663,0.43
10/23/2021,death,24,5562663,0.43
10/24/2021,death,25,5562663,0.45
10/25/2021,death,21,5562663,0.38
10/26/2021,death,21,5562663,0.38
10/27/2021,death,16,5562663,0.29
10/28/2021,death,24,5562663,0.43
10/29/2021,death,21,5562663,0.38
10/30/2021,death,20,5562663,0.36
10/31/2021,death,26,5562663,0.47
11/1/2021,death,19,5562663,0.34
11/2/2021,death,17,5562663,0.31
11/3/2021,death,28,5562663,0.5
11/4/2021,death,30,5562663,0.54
11/5/2021,death,29,5562663,0.52
11/6/2021,death,16,5562663,0.29
11/7/2021,death,24,5562663,0.43
11/8/2021,death,28,5562663,0.5
11/9/2021,death,17,5562663,0.31
11/10/2021,death,20,5562663,0.36
11/11/2021,death,28,5562663,0.5
11/12/2021,death,29,5562663,0.52
11/13/2021,death,31,5562663,0.56
11/14/2021,death,24,5562663,0.43
11/15/2021,death,28,5562663,0.5
11/16/2021,death,25,5562663,0.45
11/17/2021,death,37,5562663,0.67
11/18/2021,death,39,5562663,0.7
11/19/2021,death,33,5562663,0.59
11/20/2021,death,30,5562663,0.54
11/21/2021,death,32,5562663,0.58
11/22/2021,death,30,5562663,0.54
11/23/2021,death,32,5562663,0.58
11/24/2021,death,25,5562663,0.45
11/25/2021,death,35,5562663,0.63
11/26/2021,death,51,5562663,0.92
11/27/2021,death,38,5562663,0.68
11/28/2021,death,39,5562663,0.7
11/29/2021,death,29,5562663,0.52
11/30/2021,death,30,5562663,0.54
12/1/2021,death,47,5562663,0.84
12/2/2021,death,40,5562663,0.72
12/3/2021,death,31,5562663,0.56
12/4/2021,death,43,5562663,0.77
12/5/2021,death,36,5562663,0.65
12/6/2021,death,36,5562663,0.65
12/7/2021,death,35,5562663,0.63
12/8/2021,death,40,5562663,0.72
12/9/2021,death,47,5562663,0.84
12/10/2021,death,35,5562663,0.63
12/11/2021,death,28,5562663,0.5
12/12/2021,death,37,5562663,0.67
12/13/2021,death,34,5562663,0.61
12/14/2021,death,35,5562663,0.63
12/15/2021,death,42,5562663,0.76
12/16/2021,death,32,5562663,0.58
12/17/2021,death,41,5562663,0.74
12/18/2021,death,34,5562663,0.61
12/19/2021,death,31,5562663,0.56
12/20/2021,death,33,5562663,0.59
12/21/2021,death,28,5562663,0.5
12/22/2021,death,29,5562663,0.52
12/23/2021,death,28,5562663,0.5
12/24/2021,death,31,5562663,0.56
12/25/2021,death,28,5562663,0.5
12/26/2021,death,42,5562663,0.76
12/27/2021,death,32,5562663,0.58
12/28/2021,death,35,5562663,0.63
12/29/2021,death,32,5562663,0.58
12/30/2021,death,21,5562663,0.38
12/31/2021,death,39,5562663,0.7
1/1/2022,death,28,5562663,0.5
1/2/2022,death,23,5562663,0.41
1/3/2022,death,23,5562663,0.41
1/4/2022,death,30,5562663,0.54
1/5/2022,death,32,5562663,0.58
1/6/2022,death,32,5562663,0.58
1/7/2022,death,29,5562663,0.52
1/8/2022,death,43,5562663,0.77
1/9/2022,death,21,5562663,0.38
1/10/2022,death,31,5562663,0.56
1/11/2022,death,20,5562663,0.36
1/12/2022,death,21,5562663,0.38
1/13/2022,death,29,5562663,0.52
1/14/2022,death,33,5562663,0.59
1/15/2022,death,27,5562663,0.49
1/16/2022,death,34,5562663,0.61
1/17/2022,death,38,5562663,0.68
1/18/2022,death,26,5562663,0.47
1/19/2022,death,29,5562663,0.52
1/20/2022,death,31,5562663,0.56
1/21/2022,death,27,5562663,0.49
1/22/2022,death,30,5562663,0.54
1/23/2022,death,24,5562663,0.43
1/24/2022,death,39,5562663,0.7
1/25/2022,death,33,5562663,0.59
1/26/2022,death,35,5562663,0.63
1/27/2022,death,38,5562663,0.68
1/28/2022,death,31,5562663,0.56
1/29/2022,death,31,5562663,0.56
1/30/2022,death,27,5562663,0.49
1/31/2022,death,19,5562663,0.34
2/1/2022,death,25,5562663,0.45
2/2/2022,death,24,5562663,0.43
2/3/2022,death,31,5562663,0.56
2/4/2022,death,22,5562663,0.4
2/5/2022,death,29,5562663,0.52
2/6/2022,death,29,5562663,0.52
2/7/2022,death,20,5562663,0.36
2/8/2022,death,27,5562663,0.49
